Customer ID,Country,recency,frequency,monetary,R_score,F_score,M_score,RFM_sum,Segment,churned,first_order_date,last_order_date,cohort_month
12376,Switzerland,390,2,383.15,2,2,2,6,Lost,True,2010-10-18 08:42:00,2010-11-15 12:15:00,2010-10
12377,Switzerland,315,4,3266.32,2,3,5,10,At Risk,True,2010-04-29 15:34:00,2011-01-28 15:45:00,2010-04
12378,Switzerland,130,2,5416.32,3,2,5,10,Needs Attention,True,2010-05-26 14:07:00,2011-08-02 10:34:00,2010-05
12379,Belgium,82,4,1470.22,3,3,4,10,Potential Loyalists,False,2010-06-23 12:49:00,2011-09-19 10:09:00,2010-06
12380,Belgium,22,8,7210.650000000001,4,4,5,13,Champions,False,2010-02-15 12:05:00,2011-11-18 11:27:00,2010-02
12381,Norway,5,3,1474.81,5,3,4,12,Loyal Customers,False,2011-08-12 09:57:00,2011-12-05 12:44:00,2011-08
12383,Belgium,185,5,1628.56,3,4,4,11,Potential Loyalists,True,2010-12-22 14:28:00,2011-06-08 08:02:00,2010-12
12384,Switzerland,29,2,425.27000000000004,4,2,2,8,New Customers,False,2011-08-10 11:23:00,2011-11-11 08:39:00,2011-08
12385,Belgium,379,1,1668.4,2,1,4,7,Cant Lose Them,True,2010-11-25 15:14:00,2010-11-25 15:14:00,2010-11
12386,Australia,338,2,401.9,2,2,2,6,Lost,True,2010-12-08 09:53:00,2011-01-06 12:37:00,2010-12
12387,Australia,415,1,143.94,1,1,1,3,Lost,True,2010-10-20 16:27:00,2010-10-20 16:27:00,2010-10
12388,Australia,16,8,3901.11,5,4,5,14,Champions,False,2010-05-06 12:54:00,2011-11-24 12:30:00,2010-05
12389,Australia,403,3,1433.33,2,3,4,9,At Risk,True,2010-02-22 10:15:00,2010-11-02 11:52:00,2010-02
12390,Belgium,80,1,504.84000000000003,3,1,2,6,Needs Attention,False,2011-09-21 09:33:00,2011-09-21 09:33:00,2011-09
12391,Cyprus,22,6,2724.84,4,4,4,12,Champions,False,2010-02-15 10:12:00,2011-11-18 12:07:00,2010-02
12392,Australia,591,1,234.75000000000003,1,1,1,3,Lost,True,2010-04-27 14:04:00,2010-04-27 14:04:00,2010-04
12393,Australia,72,6,2399.45,3,4,4,11,Potential Loyalists,False,2010-10-07 13:49:00,2011-09-28 15:41:00,2010-10
12394,Belgium,64,2,1080.48,3,2,3,8,Needs Attention,False,2011-05-06 14:01:00,2011-10-07 08:08:00,2011-05
12395,Belgium,19,15,4241.17,5,5,5,15,Champions,False,2010-04-16 10:16:00,2011-11-20 15:21:00,2010-04
12396,RSA,674,1,931.4300000000001,1,1,3,5,Lost,True,2010-02-03 13:22:00,2010-02-03 13:22:00,2010-02
12397,Belgium,36,2,2214.9,4,2,4,10,New Customers,False,2011-07-27 14:21:00,2011-11-04 09:52:00,2011-07
12398,Switzerland,46,1,1435.66,4,1,4,9,New Customers,False,2011-10-25 10:27:00,2011-10-25 10:27:00,2011-10
12399,Belgium,119,7,1842.3,3,4,4,11,Potential Loyalists,True,2010-03-05 08:45:00,2011-08-12 13:15:00,2010-03
12400,Australia,414,1,205.25,1,1,1,3,Lost,True,2010-10-21 13:45:00,2010-10-21 13:45:00,2010-10
12401,Belgium,303,1,69.3,2,1,1,4,Lost,True,2011-02-09 13:50:00,2011-02-09 13:50:00,2011-02
12402,Belgium,323,6,1136.9,2,4,3,9,At Risk,True,2010-02-07 12:41:00,2011-01-20 13:49:00,2010-02
12403,Denmark,50,2,947.36,4,2,3,9,New Customers,False,2010-07-06 11:39:00,2011-10-21 10:51:00,2010-07
12405,Finland,149,1,1390.39,3,1,4,8,Needs Attention,True,2011-07-14 08:52:00,2011-07-14 08:52:00,2011-07
12406,Denmark,22,5,6390.36,4,4,5,13,Champions,False,2010-01-11 14:04:00,2011-11-17 19:22:00,2010-01
12407,Belgium,50,5,1507.12,4,4,4,12,Champions,False,2011-03-20 13:21:00,2011-10-21 10:11:00,2011-03
12408,Belgium,33,8,3905.77,4,4,5,13,Champions,False,2010-07-29 13:27:00,2011-11-07 12:27:00,2010-07
12409,Switzerland,79,7,23419.29,3,4,5,12,Potential Loyalists,False,2010-05-23 15:21:00,2011-09-22 10:38:00,2010-05
12410,Switzerland,309,3,773.71,2,3,3,8,At Risk,True,2010-07-25 13:26:00,2011-02-04 10:39:00,2010-07
12411,Australia,410,1,346.9,1,1,2,4,Lost,True,2010-10-26 09:25:00,2010-10-26 09:25:00,2010-10
12412,Denmark,75,6,2404.93,3,4,4,11,Potential Loyalists,False,2010-06-18 13:22:00,2011-09-26 10:16:00,2010-06
12413,France,67,4,871.45,3,3,3,9,Potential Loyalists,False,2010-11-02 13:26:00,2011-10-04 09:00:00,2010-11
12414,Austria,217,4,532.41,2,3,2,7,At Risk,True,2010-09-02 12:22:00,2011-05-06 14:51:00,2010-09
12415,Australia,24,24,144033.37,4,5,5,14,Champions,False,2010-06-30 08:30:00,2011-11-15 14:22:00,2010-06
12416,Australia,657,1,202.56,1,1,1,3,Lost,True,2010-02-21 10:19:00,2010-02-21 10:19:00,2010-02
12417,Belgium,3,20,5998.41,5,5,5,15,Champions,False,2009-12-06 10:30:00,2011-12-06 14:52:00,2009-12
12418,Switzerland,113,4,2021.2,3,3,4,10,Potential Loyalists,True,2010-03-19 14:47:00,2011-08-19 11:08:00,2010-03
12419,Spain,386,2,391.01,2,2,2,6,Lost,True,2010-10-22 10:40:00,2010-11-19 10:04:00,2010-10
12420,Cyprus,64,1,600.39,3,1,2,6,Needs Attention,False,2011-10-07 08:55:00,2011-10-07 08:55:00,2011-10
12421,Spain,16,6,874.6,5,4,3,12,Loyal Customers,False,2010-07-22 13:57:00,2011-11-24 09:07:00,2010-07
12422,Australia,96,12,3639.35,3,5,5,13,Potential Loyalists,True,2009-12-18 12:44:00,2011-09-05 09:48:00,2009-12
12423,Belgium,1,10,2301.39,5,5,4,14,Champions,False,2010-08-31 09:31:00,2011-12-09 10:10:00,2010-08
12424,Australia,163,4,3340.0299999999997,3,3,5,11,Potential Loyalists,True,2010-06-09 15:15:00,2011-06-30 12:06:00,2010-06
12425,Portugal,78,2,1741.41,3,2,4,9,Needs Attention,False,2010-09-17 14:10:00,2011-09-22 17:31:00,2010-09
12426,Germany,195,2,1201.21,2,2,3,7,Lost,True,2010-02-15 08:41:00,2011-05-29 12:26:00,2010-02
12427,Germany,22,3,699.8000000000001,4,3,3,10,Loyal Customers,False,2010-12-03 10:44:00,2011-11-18 08:56:00,2010-12
12428,Finland,26,8,6405.26,4,4,5,13,Champions,False,2011-03-01 09:33:00,2011-11-14 08:22:00,2011-03
12429,Denmark,9,8,5842.41,5,4,5,14,Champions,False,2010-06-11 13:28:00,2011-11-30 17:22:00,2010-06
12430,Norway,43,1,216.4,4,1,1,6,New Customers,False,2011-10-27 15:09:00,2011-10-27 15:09:00,2011-10
12431,Australia,36,25,10102.220000000001,4,5,5,14,Champions,False,2010-01-15 09:04:00,2011-11-04 11:55:00,2010-01
12432,Norway,43,4,4359.32,4,3,5,12,Loyal Customers,False,2011-06-20 13:27:00,2011-10-28 11:43:00,2011-06
12433,Norway,1,10,16794.14,5,5,5,15,Champions,False,2010-08-20 09:23:00,2011-12-09 10:02:00,2010-08
12434,Australia,85,3,1103.43,3,3,3,9,Potential Loyalists,False,2010-11-23 13:38:00,2011-09-16 12:38:00,2010-11
12435,Denmark,80,6,13925.93,3,4,5,12,Potential Loyalists,False,2009-12-02 13:58:00,2011-09-21 09:06:00,2009-12
12436,Norway,100,1,429.01,3,1,2,6,Needs Attention,True,2011-09-01 12:09:00,2011-09-01 12:09:00,2011-09
12437,France,2,38,11282.4,5,5,5,15,Champions,False,2009-12-02 16:24:00,2011-12-08 11:35:00,2009-12
12438,Norway,14,2,2466.85,5,2,4,11,New Customers,False,2011-07-22 13:29:00,2011-11-25 13:28:00,2011-07
12439,Cyprus,683,2,1142.88,1,2,3,6,Lost,True,2009-12-14 08:40:00,2010-01-26 12:11:00,2009-12
12440,Austria,462,2,739.2,1,2,3,6,Lost,True,2009-12-22 12:03:00,2010-09-03 13:11:00,2009-12
12441,France,367,1,155.55,2,1,1,4,Lost,True,2010-12-08 10:45:00,2010-12-08 10:45:00,2010-12
12442,Spain,3,1,144.06,5,1,1,7,New Customers,False,2011-12-06 14:22:00,2011-12-06 14:22:00,2011-12
12443,Norway,732,1,365.31,1,1,2,4,Lost,True,2009-12-07 15:42:00,2009-12-07 15:42:00,2009-12
12444,Norway,21,5,4085.46,4,4,5,13,Champions,False,2011-06-21 14:00:00,2011-11-18 13:23:00,2011-06
12445,Spain,22,2,378.98,4,2,2,8,New Customers,False,2010-10-15 12:28:00,2011-11-17 18:43:00,2010-10
12446,RSA,58,1,1002.3100000000001,4,1,3,8,New Customers,False,2011-10-13 12:50:00,2011-10-13 12:50:00,2011-10
12447,Belgium,243,1,431.49,2,1,2,5,Lost,True,2011-04-10 13:25:00,2011-04-10 13:25:00,2011-04
12448,Spain,44,1,365.45,4,1,2,7,New Customers,False,2011-10-26 13:46:00,2011-10-26 13:46:00,2011-10
12449,Belgium,22,5,4274.89,4,4,5,13,Champions,False,2010-09-27 09:37:00,2011-11-17 13:46:00,2010-09
12450,Spain,156,5,688.2,3,4,3,10,Potential Loyalists,True,2010-08-22 13:11:00,2011-07-06 14:41:00,2010-08
12451,Switzerland,11,8,12629.88,5,4,5,14,Champions,False,2010-06-28 12:58:00,2011-11-29 08:40:00,2010-06
12452,Switzerland,17,1,348.57,5,1,2,8,New Customers,False,2011-11-23 08:05:00,2011-11-23 08:05:00,2011-11
12453,Austria,134,1,707.09,3,1,3,7,Needs Attention,True,2011-07-28 14:08:00,2011-07-28 14:08:00,2011-07
12454,Spain,56,4,16459.78,4,3,5,12,Loyal Customers,False,2010-10-14 17:33:00,2011-10-14 17:13:00,2010-10
12455,Cyprus,73,9,5722.95,3,5,5,13,Potential Loyalists,False,2009-12-18 12:33:00,2011-09-27 15:31:00,2009-12
12456,Switzerland,44,3,2581.04,4,3,4,11,Loyal Customers,False,2011-03-30 09:12:00,2011-10-26 14:41:00,2011-03
12457,Switzerland,66,7,2555.91,3,4,4,11,Potential Loyalists,False,2010-09-30 17:59:00,2011-10-04 13:13:00,2010-09
12458,Switzerland,71,4,1502.49,3,3,4,10,Potential Loyalists,False,2010-08-09 10:33:00,2011-09-29 15:25:00,2010-08
12459,Spain,605,1,398.36,1,1,2,4,Lost,True,2010-04-13 14:53:00,2010-04-13 14:53:00,2010-04
12460,Belgium,456,1,296.65,1,1,2,4,Lost,True,2010-09-09 13:51:00,2010-09-09 13:51:00,2010-09
12461,Switzerland,155,1,626.88,3,1,3,7,Needs Attention,True,2011-07-08 10:23:00,2011-07-08 10:23:00,2011-07
12462,Spain,19,2,937.59,5,2,3,10,New Customers,False,2011-02-09 14:44:00,2011-11-21 09:11:00,2011-02
12463,Belgium,53,4,1200.78,4,3,3,10,Loyal Customers,False,2011-04-12 12:47:00,2011-10-17 13:44:00,2011-04
12464,Belgium,10,8,957.05,5,4,3,12,Loyal Customers,False,2011-02-03 13:30:00,2011-11-29 13:33:00,2011-02
12465,Belgium,17,2,682.19,5,2,3,10,New Customers,False,2011-06-23 13:37:00,2011-11-22 16:34:00,2011-06
12467,USA,423,1,132.8,1,1,1,3,Lost,True,2010-10-12 15:41:00,2010-10-12 15:41:00,2010-10
12468,Germany,188,5,3238.7400000000002,2,4,5,11,At Risk,True,2010-01-26 10:09:00,2011-06-05 11:36:00,2010-01
12469,Thailand,523,2,3070.54,1,2,5,8,Cant Lose Them,True,2010-06-21 10:30:00,2010-07-05 12:40:00,2010-06
12470,Unspecified,690,1,211.95,1,1,1,3,Lost,True,2010-01-19 11:01:00,2010-01-19 11:01:00,2010-01
12471,Germany,2,71,35099.9,5,5,5,15,Champions,False,2009-12-07 10:41:00,2011-12-07 15:43:00,2009-12
12472,Germany,32,19,14971.29,4,5,5,14,Champions,False,2009-12-14 10:49:00,2011-11-07 14:01:00,2009-12
12473,Germany,54,3,2585.73,4,3,4,11,Loyal Customers,False,2011-06-01 10:15:00,2011-10-17 11:27:00,2011-06
12474,Germany,17,29,11310.75,5,5,5,15,Champions,False,2010-02-11 09:41:00,2011-11-22 14:39:00,2010-02
12475,Germany,54,2,1065.64,4,2,3,9,New Customers,False,2010-10-26 08:49:00,2011-10-17 10:10:00,2010-10
12476,Germany,16,18,12319.91,5,5,5,15,Champions,False,2010-07-26 09:04:00,2011-11-24 12:40:00,2010-07
12477,Germany,23,9,20276.37,4,5,5,14,Champions,False,2010-03-26 14:01:00,2011-11-17 09:51:00,2010-03
12478,Greece,4,1,545.99,5,1,2,8,New Customers,False,2011-12-06 09:56:00,2011-12-06 09:56:00,2011-12
12479,Germany,11,1,473.2,5,1,2,8,New Customers,False,2011-11-28 13:26:00,2011-11-28 13:26:00,2011-11
12480,Germany,28,7,4834.85,4,4,5,13,Champions,False,2010-07-20 13:21:00,2011-11-11 14:52:00,2010-07
12481,Germany,23,14,11033.51,4,5,5,14,Champions,False,2010-04-11 13:10:00,2011-11-17 08:29:00,2010-04
12482,Sweden,576,27,21941.72,1,5,5,11,At Risk,True,2010-02-24 10:24:00,2010-05-12 16:51:00,2010-02
12483,Sweden,17,19,4069.1800000000003,5,5,5,15,Champions,False,2010-01-31 13:28:00,2011-11-22 17:02:00,2010-01
12484,Spain,35,9,5557.1,4,5,5,14,Champions,False,2010-01-27 16:41:00,2011-11-04 15:18:00,2010-01
12485,Sweden,529,1,708.1,1,1,3,5,Lost,True,2010-06-28 15:22:00,2010-06-28 15:22:00,2010-06
12486,Sweden,432,1,917.28,1,1,3,5,Lost,True,2010-10-04 12:14:00,2010-10-04 12:14:00,2010-10
12487,Sweden,731,1,285.3,1,1,1,3,Lost,True,2009-12-09 11:36:00,2009-12-09 11:36:00,2009-12
12488,France,10,3,1244.66,5,3,4,12,Loyal Customers,False,2011-09-25 10:34:00,2011-11-30 08:50:00,2011-09
12489,France,336,1,298.93,2,1,2,5,Lost,True,2011-01-07 13:13:00,2011-01-07 13:13:00,2011-01
12490,France,5,20,8764.64,5,5,5,15,Champions,False,2009-12-01 12:52:00,2011-12-04 16:07:00,2009-12
12491,France,39,1,424.40000000000003,4,1,2,7,New Customers,False,2011-11-01 12:18:00,2011-11-01 12:18:00,2011-11
12492,Germany,63,3,607.21,3,3,3,9,Potential Loyalists,False,2010-11-01 14:58:00,2011-10-07 15:15:00,2010-11
12493,France,166,2,379.74,3,2,2,7,Needs Attention,True,2011-05-26 14:53:00,2011-06-27 10:17:00,2011-05
12494,France,16,9,1563.27,5,5,4,14,Champions,False,2010-05-12 13:52:00,2011-11-24 09:34:00,2010-05
12495,Sweden,641,1,277.4,1,1,1,3,Lost,True,2010-03-09 10:53:00,2010-03-09 10:53:00,2010-03
12496,Spain,620,2,45.34,1,2,1,4,Lost,True,2010-03-29 13:57:00,2010-03-29 14:06:00,2010-03
12497,Germany,82,3,5996.5,3,3,5,11,Potential Loyalists,False,2010-03-05 09:39:00,2011-09-19 12:29:00,2010-03
12498,Germany,21,3,349.70000000000005,4,3,2,9,Loyal Customers,False,2011-10-13 09:30:00,2011-11-18 12:53:00,2011-10
12499,Germany,560,1,357.72,1,1,2,4,Lost,True,2010-05-28 15:12:00,2010-05-28 15:12:00,2010-05
12500,Germany,23,18,5559.21,4,5,5,14,Champions,False,2010-02-04 15:05:00,2011-11-16 16:20:00,2010-02
12501,Germany,337,1,2025.39,2,1,4,7,Cant Lose Them,True,2011-01-07 12:28:00,2011-01-07 12:28:00,2011-01
12502,Spain,96,5,2995.87,3,4,5,12,Potential Loyalists,True,2011-02-03 10:41:00,2011-09-05 11:52:00,2011-02
12503,Spain,584,1,896.0,1,1,3,5,Lost,True,2010-05-04 13:59:00,2010-05-04 13:59:00,2010-05
12504,Germany,18,4,689.05,5,3,3,11,Loyal Customers,False,2010-04-22 10:24:00,2011-11-21 16:02:00,2010-04
12505,Italy,409,1,787.2,2,1,3,6,Lost,True,2010-10-27 09:18:00,2010-10-27 09:18:00,2010-10
12506,France,233,1,73.5,2,1,1,4,Lost,True,2011-04-21 08:54:00,2011-04-21 08:54:00,2011-04
12507,Spain,134,4,1508.06,3,3,4,10,Potential Loyalists,True,2010-05-04 09:23:00,2011-07-28 17:09:00,2010-05
12508,France,26,2,397.88,4,2,2,8,New Customers,False,2011-11-10 16:27:00,2011-11-13 15:37:00,2011-11
12509,France,284,1,158.5,2,1,1,4,Lost,True,2011-02-28 14:45:00,2011-02-28 14:45:00,2011-02
12510,Spain,143,7,3039.03,3,4,5,12,Potential Loyalists,True,2009-12-04 13:47:00,2011-07-20 10:15:00,2009-12
12511,Greece,429,1,3084.02,1,1,5,7,Cant Lose Them,True,2010-10-07 10:39:00,2010-10-07 10:39:00,2010-10
12512,Israel,66,2,132.18,3,2,1,6,Needs Attention,False,2011-10-04 14:53:00,2011-10-04 14:55:00,2011-10
12513,France,113,1,558.29,3,1,2,6,Needs Attention,True,2011-08-19 10:51:00,2011-08-19 10:51:00,2011-08
12514,Italy,267,2,1597.76,2,2,4,8,Cant Lose Them,True,2010-03-08 12:18:00,2011-03-17 16:38:00,2010-03
12515,Italy,353,1,278.7,2,1,1,4,Lost,True,2010-12-21 15:43:00,2010-12-21 15:43:00,2010-12
12516,Germany,78,4,2288.62,3,3,4,10,Potential Loyalists,False,2010-04-19 14:14:00,2011-09-23 09:13:00,2010-04
12517,Germany,28,4,2301.6,4,3,4,11,Loyal Customers,False,2011-06-02 15:13:00,2011-11-11 13:57:00,2011-06
12518,Germany,1,5,1840.89,5,4,4,13,Champions,False,2011-08-21 13:18:00,2011-12-09 10:13:00,2011-08
12519,Germany,64,2,626.54,3,2,3,8,Needs Attention,False,2010-08-20 08:21:00,2011-10-07 09:26:00,2010-08
12520,Germany,79,5,2346.26,3,4,4,11,Potential Loyalists,False,2011-03-11 11:35:00,2011-09-21 15:23:00,2011-03
12521,Germany,143,1,545.68,3,1,2,6,Needs Attention,True,2011-07-20 10:51:00,2011-07-20 10:51:00,2011-07
12522,Germany,39,2,156.72,4,2,1,7,New Customers,False,2011-10-19 14:41:00,2011-10-31 15:30:00,2011-10
12523,France,19,23,4010.35,5,5,5,15,Champions,False,2009-12-07 13:46:00,2011-11-20 12:55:00,2009-12
12524,Germany,9,17,9794.11,5,5,5,15,Champions,False,2010-02-08 14:41:00,2011-11-30 15:31:00,2010-02
12525,France,498,3,883.73,1,3,3,7,At Risk,True,2010-03-02 14:01:00,2010-07-29 16:08:00,2010-03
12526,Germany,1,3,1172.66,5,3,3,11,Loyal Customers,False,2011-09-06 14:19:00,2011-12-09 12:09:00,2011-09
12527,Germany,82,5,717.51,3,4,3,10,Potential Loyalists,False,2010-06-28 15:37:00,2011-09-19 11:55:00,2010-06
12528,Germany,9,6,1645.48,5,4,4,13,Champions,False,2011-01-31 09:05:00,2011-11-30 14:40:00,2011-01
12529,France,528,1,316.48,1,1,2,4,Lost,True,2010-06-29 13:10:00,2010-06-29 13:10:00,2010-06
12530,Germany,60,9,3381.26,3,5,5,13,Potential Loyalists,False,2010-03-07 14:37:00,2011-10-11 12:34:00,2010-03
12531,Germany,15,2,1771.2,5,2,4,11,New Customers,False,2010-01-22 14:17:00,2011-11-25 11:12:00,2010-01
12532,France,30,1,313.83000000000004,4,1,2,7,New Customers,False,2011-11-09 13:47:00,2011-11-09 13:47:00,2011-11
12533,Germany,628,2,1223.89,1,2,4,7,Cant Lose Them,True,2009-12-01 11:50:00,2010-03-22 10:56:00,2009-12
12534,Germany,131,1,981.18,3,1,3,7,Needs Attention,True,2011-08-01 10:26:00,2011-08-01 10:26:00,2011-08
12535,France,92,2,716.35,3,2,3,8,Needs Attention,True,2011-06-06 12:47:00,2011-09-09 08:48:00,2011-06
12536,France,59,1,4279.71,4,1,5,10,New Customers,False,2011-10-11 14:52:00,2011-10-11 14:52:00,2011-10
12537,Sweden,409,1,612.94,2,1,3,6,Lost,True,2010-10-27 08:36:00,2010-10-27 08:36:00,2010-10
12538,Spain,29,2,640.45,4,2,3,9,New Customers,False,2010-11-26 13:02:00,2011-11-10 17:16:00,2010-11
12539,Spain,22,7,11186.75,4,4,5,13,Champions,False,2009-12-23 13:00:00,2011-11-17 13:30:00,2009-12
12540,Spain,20,32,19250.49,4,5,5,14,Champions,False,2009-12-07 16:56:00,2011-11-20 11:31:00,2009-12
12541,Spain,30,3,841.18,4,3,3,10,Loyal Customers,False,2011-03-04 09:32:00,2011-11-10 10:40:00,2011-03
12542,Spain,484,2,481.88,1,2,2,5,Lost,True,2010-03-09 16:26:00,2010-08-12 19:12:00,2010-03
12543,Spain,448,1,840.25,1,1,3,5,Lost,True,2010-09-17 15:51:00,2010-09-17 15:51:00,2010-09
12544,Spain,36,1,316.7,4,1,2,7,New Customers,False,2011-11-03 16:15:00,2011-11-03 16:15:00,2011-11
12545,Spain,75,2,832.39,3,2,3,8,Needs Attention,False,2011-03-25 12:04:00,2011-09-25 13:39:00,2011-03
12546,Spain,47,2,1021.5,4,2,3,9,New Customers,False,2011-09-23 09:44:00,2011-10-24 12:09:00,2011-09
12547,Spain,198,3,299.58,2,3,2,7,At Risk,True,2010-07-27 13:55:00,2011-05-26 12:38:00,2010-07
12548,Spain,166,1,67.19999999999999,3,1,1,5,Needs Attention,True,2011-06-26 15:35:00,2011-06-26 15:35:00,2011-06
12549,USA,576,5,1570.68,1,4,4,9,At Risk,True,2010-01-11 12:29:00,2010-05-13 12:05:00,2010-01
12550,Spain,79,1,824.83,3,1,3,7,Needs Attention,False,2011-09-21 14:35:00,2011-09-21 14:35:00,2011-09
12551,Spain,358,1,168.0,2,1,1,4,Lost,True,2010-12-17 11:23:00,2010-12-17 11:23:00,2010-12
12552,Italy,40,1,317.82,4,1,2,7,New Customers,False,2011-10-31 12:11:00,2011-10-31 12:11:00,2011-10
12553,France,8,12,4104.75,5,5,5,15,Champions,False,2010-10-12 13:35:00,2011-12-01 16:38:00,2010-10
12554,Spain,449,1,384.5,1,1,2,4,Lost,True,2010-09-17 12:29:00,2010-09-17 12:29:00,2010-09
12556,Spain,50,2,599.56,4,2,2,8,New Customers,False,2011-07-11 13:35:00,2011-10-20 13:06:00,2011-07
12557,Spain,16,8,18096.14,5,4,5,14,Champions,False,2009-12-17 10:39:00,2011-11-23 16:59:00,2009-12
12558,USA,8,1,269.96,5,1,1,7,New Customers,False,2011-12-02 10:41:00,2011-12-02 10:41:00,2011-12
12559,Germany,311,2,525.71,2,2,2,6,Lost,True,2011-01-24 10:12:00,2011-02-02 09:49:00,2011-01
12560,Germany,5,2,1918.01,5,2,4,11,New Customers,False,2011-07-19 15:55:00,2011-12-04 13:54:00,2011-07
12561,Germany,303,1,238.85,2,1,1,4,Lost,True,2011-02-10 11:39:00,2011-02-10 11:39:00,2011-02
12562,France,8,9,4426.92,5,5,5,15,Champions,False,2010-09-30 13:13:00,2011-12-01 17:20:00,2010-09
12563,Italy,409,1,221.24,2,1,1,4,Lost,True,2010-10-27 09:52:00,2010-10-27 09:52:00,2010-10
12564,France,261,1,402.90000000000003,2,1,2,5,Lost,True,2011-03-23 14:55:00,2011-03-23 14:55:00,2011-03
12565,Saudi Arabia,289,1,145.92000000000002,2,1,1,4,Lost,True,2011-02-24 10:34:00,2011-02-24 10:34:00,2011-02
12566,Germany,86,1,297.65,3,1,2,6,Needs Attention,False,2011-09-14 14:30:00,2011-09-14 14:30:00,2011-09
12567,France,23,15,10741.48,4,5,5,14,Champions,False,2010-02-11 10:30:00,2011-11-17 11:02:00,2010-02
12568,Germany,645,1,52.0,1,1,1,3,Lost,True,2010-03-05 09:15:00,2010-03-05 09:15:00,2010-03
12569,Germany,2,32,3152.69,5,5,5,15,Champions,False,2011-04-01 13:47:00,2011-12-07 16:24:00,2011-04
